Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed,Death Cases
01/20/2021,Malaysia,,,169379,630,127662,48,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,11
01/21/2021,Malaysia,,,172549,642,130152,49,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,12
01/22/2021,Malaysia,,,176180,660,132706,50,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,18
01/23/2021,Malaysia,,,180455,667,137019,51,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,7
01/24/2021,Malaysia,,,183801,678,141446,52,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,11
01/25/2021,Malaysia,,,186849,689,145084,53,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,11
01/26/2021,Malaysia,,,190434,700,149160,54,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,11
01/27/2021,Malaysia,,,194114,707,151018,55,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,7
01/28/2021,Malaysia,,,198208,717,154299,56,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,10
01/29/2021,Malaysia,,,203933,733,157722,57,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,16
01/30/2021,Malaysia,,,209661,746,161527,58,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,13
01/31/2021,Malaysia,,,214959,760,166049,59,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,14
2/1/2021,Malaysia,,,219173,770,170329,60,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,10
2/2/2021,Malaysia,,,222628,791,173990,61,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,21
2/3/2021,Malaysia,,,226912,809,177794,62,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,18
2/4/2021,Malaysia,,,231483,826,181886,63,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,17
2/5/2021,Malaysia,,,234874,845,185278,64,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,19
2/6/2021,Malaysia,,,238721,857,186970,65,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,12
2/7/2021,Malaysia,,,242452,872,190339,66,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,15
2/8/2021,Malaysia,,,245552,896,192679,67,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,24
2/9/2021,Malaysia,,,248316,909,196566,68,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,13
2/10/2021,Malaysia,,,251604,923,198495,69,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,14
2/11/2021,Malaysia,,,254988,936,202269,70,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,13
2/12/2021,Malaysia,,,258306,953,205774,71,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,17
02/13/2021,Malaysia,,,261805,958,209289,72,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
02/14/2021,Malaysia,,,264269,965,213814,73,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,7
02/15/2021,Malaysia,,,266445,975,218335,74,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,10
02/16/2021,Malaysia,,,269165,983,224053,75,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,8
02/17/2021,Malaysia,,,272163,1005,229762,76,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,22
02/18/2021,Malaysia,,,274875,1030,235082,77,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,25
02/19/2021,Malaysia,,,277811,1043,239971,78,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,13
02/20/2021,Malaysia,,,280272,1051,244753,79,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,8
02/21/2021,Malaysia,,,283569,1056,249209,80,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
02/22/2021,Malaysia,,,285761,1062,252623,81,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,6
02/23/2021,Malaysia,,,288229,1076,256678,82,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,14
02/24/2021,Malaysia,,,291774,1088,260009,83,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,12
02/25/2021,Malaysia,,,293698,1100,263761,84,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,12
02/26/2021,Malaysia,,,295951,1111,266846,85,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,11
02/27/2021,Malaysia,,,298315,1121,270166,86,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,10
02/28/2021,Malaysia,,,300752,1130,273417,87,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,9
3/1/2021,Malaysia,,,302580,1135,275903,88,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
3/2/2021,Malaysia,,,304135,1141,278431,89,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,6
3/3/2021,Malaysia,,,305880,1148,280707,90,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,7
3/4/2021,Malaysia,,,307943,1153,283629,91,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
3/5/2021,Malaysia,,,310097,1159,286904,92,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,6
3/6/2021,Malaysia,,,311777,1166,289452,93,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,7
3/7/2021,Malaysia,,,313460,1169,291958,94,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,3
3/8/2021,Malaysia,,,314989,1177,294034,95,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,8
3/9/2021,Malaysia,,,316269,1186,296379,96,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,9
3/10/2021,Malaysia,,,317717,1191,298516,97,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
3/11/2021,Malaysia,,,319364,1200,300620,98,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,9
3/12/2021,Malaysia,,,320939,1203,302662,99,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,3
03/13/2021,Malaysia,,,322409,1206,304492,100,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,3
03/14/2021,Malaysia,,,323763,1210,306274,101,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4
03/15/2021,Malaysia,,,324971,1213,308247,102,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,3
03/16/2021,Malaysia,,,326034,1218,309612,103,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
03/17/2021,Malaysia,,,327253,1220,310958,104,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2
03/18/2021,Malaysia,,,328466,1223,312461,105,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,3
03/19/2021,Malaysia,,,330042,1225,314457,106,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2
03/20/2021,Malaysia,,,331713,1229,316042,107,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4
03/21/2021,Malaysia,,,333040,1233,317289,108,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4
03/22/2021,Malaysia,,,334156,1238,318784,109,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
03/23/2021,Malaysia,,,335540,1244,319842,110,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,6
03/24/2021,Malaysia,,,336808,1246,320925,111,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2
03/25/2021,Malaysia,,,338168,1248,322416,112,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2
03/26/2021,Malaysia,,,339443,1249,323925,113,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1
03/27/2021,Malaysia,,,340642,1251,325182,114,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2
03/28/2021,Malaysia,,,341944,1255,326309,115,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4
03/29/2021,Malaysia,,,342885,1260,327406,116,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
03/30/2021,Malaysia,,,344018,1265,328554,117,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
03/31/2021,Malaysia,,,345500,1272,329624,118,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,7
4/1/2021,Malaysia,,,346678,1278,331001,119,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,6
4/2/2021,Malaysia,,,347972,1283,332443,120,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
4/3/2021,Malaysia,,,349610,1286,333892,121,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,3
4/4/2021,Malaysia,,,350959,1288,335162,122,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2
4/5/2021,Malaysia,,,352029,1295,336456,123,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,7
4/6/2021,Malaysia,,,353329,1300,337868,124,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
4/7/2021,Malaysia,,,354468,1304,339067,125,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4
4/8/2021,Malaysia,,,355753,1308,340242,126,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4
4/9/2021,Malaysia,,,357607,1313,341489,127,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,5
4/10/2021,Malaysia,,,359117,1321,342737,128,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,8
4/11/2021,Malaysia,,,360856,1329,343953,129,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,8
4/12/2021,Malaysia,,,362173,1333,345005,130,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,4
4/13/2021,Malaysia,,,363940,1345,346295,131,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,12
4/14/2021,Malaysia,,,365829,1353,347780,132,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,8
4/15/2021,Malaysia,,,367977,1363,349039,133,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,10
